name,space_id,color
Muted Sap Green,0,#778D6E
Washed Olive,0,#9C9B67
Faded Leaf Green,0,#94A77C
Muted Willow Green,0,#8B996D
Olive Dust,0,#B5AB76
Dry Meadow,0,#A39D75
Yellowed Moss,0,#B3B075
Sunbleached Grass,0,#C0BD8F
Silver Sage,0,#9BA99B
Pale Eucalyptus,0,#94A79B
Desaturated Mint Leaf,0,#9FB3A2
Greyed Aqua Green,0,#869F91
Stone Pine,0,#5E6B57
Muted Ivy,0,#647D5F
Dry Undergrowth,0,#586D58
Ashened Green,0,#4F5C4A
Washed Terracotta Clay,0,#C29E83
Limestone Pot,0,#D6D1C3
Muted Dusty Rose,0,#C9A49C
Concrete Ash,0,#9B9B96
